REGION,PROCESSDAY,PROCESSDAY_HOUR,ORDER_COUNT,FISCALYEAR,FISCALQUARTER,FISCALMONTH,FISCALWEEK,DAYNUM
EMEA,20240212,13,1030,FY25,Q1,M01,WK02,Monday   
APJ,20240212,14,68,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,14,972,FY25,Q1,M01,WK02,Monday   
DAO,20240212,14,1466,FY25,Q1,M01,WK02,Monday   
DAO,20240212,15,2495,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,15,992,FY25,Q1,M01,WK02,Monday   
APJ,20240212,15,45,FY25,Q1,M01,WK02,Monday   
APJ,20240212,16,36,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,16,761,FY25,Q1,M01,WK02,Monday   
DAO,20240212,16,2460,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,17,469,FY25,Q1,M01,WK02,Monday   
APJ,20240212,17,6,FY25,Q1,M01,WK02,Monday   
DAO,20240212,17,2572,FY25,Q1,M01,WK02,Monday   
APJ,20240212,18,5,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,18,550,FY25,Q1,M01,WK02,Monday   
DAO,20240212,18,2621,FY25,Q1,M01,WK02,Monday   
APJ,20240212,19,9,FY25,Q1,M01,WK02,Monday   
DAO,20240212,19,2575,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,19,220,FY25,Q1,M01,WK02,Monday   
DAO,20240212,21,2686,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,21,120,FY25,Q1,M01,WK02,Monday   
APJ,20240212,21,30,FY25,Q1,M01,WK02,Monday   
APJ,20240212,22,88,FY25,Q1,M01,WK02,Monday   
DAO,20240212,22,2159,FY25,Q1,M01,WK02,Monday   
EMEA,20240212,22,128,FY25,Q1,M01,WK02,Monday   
DAO,20240212,23,238,FY25,Q1,M01,WK02,Monday   
DAO,20240213,00,57,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,01,42,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,02,1,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,02,31,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,02,3,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,03,3575,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,03,1632,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,03,163,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,04,527,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,04,12,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,04,430,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,05,316,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,05,41,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,05,407,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,06,243,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,06,587,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,06,67,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,07,563,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,07,262,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,07,220,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,08,164,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,08,651,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,08,421,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,09,762,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,09,503,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,09,99,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,10,906,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,10,319,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,10,79,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,11,191,FY25,Q1,M01,WK02,Tuesday  
APJ,20240213,11,269,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,11,985,FY25,Q1,M01,WK02,Tuesday  
DAO,20240213,12,318,FY25,Q1,M01,WK02,Tuesday  
EMEA,20240213,12,849,FY25,Q1,M01,WK02,Tuesday  
